iter	Passed	Remaining
684	6185	2844
685	6193	2835
686	6201	2825
687	6209	2816
688	6218	2806
689	6226	2797
690	6234	2787
691	6243	2778
692	6251	2769
693	6259	2760
694	6268	2750
695	6277	2741
696	6286	2733
697	6295	2723
698	6305	2715
699	6314	2706
700	6323	2697
701	6331	2687
702	6339	2678
703	6348	2669
704	6356	2659
705	6365	2650
706	6373	2641
707	6381	2631
708	6389	2622
709	6397	2613
710	6405	2603
711	6414	2594
712	6422	2585
713	6431	2576
714	6439	2566
715	6448	2557
716	6456	2548
717	6464	2539
718	6473	2529
719	6481	2520
720	6490	2511
721	6499	2502
722	6507	2493
723	6515	2483
724	6525	2475
725	6534	2466
726	6543	2457
727	6551	2447
728	6560	2438
729	6568	2429
730	6576	2420
731	6585	2411
732	6593	2401
733	6602	2392
734	6611	2383
735	6619	2374
736	6628	2365
737	6638	2356
738	6647	2347
739	6655	2338
740	6663	2329
741	6672	2319
742	6680	2310
743	6688	2301
744	6700	2293
745	6709	2284
746	6717	2275
747	6727	2266
748	6736	2257
749	6745	2248
750	6752	2238
751	6760	2229
752	6768	2220
753	6776	2210
754	6784	2201
755	6793	2192
756	6801	2183
757	6810	2174
758	6818	2165
759	6826	2155
760	6835	2146
761	6844	2137
762	6852	2128
763	6861	2119
764	6870	2110
765	6878	2101
766	6886	2091
767	6894	2082
768	6902	2073
769	6911	2064
770	6919	2055
771	6929	2046
772	6938	2037
773	6948	2028
774	6956	2019
775	6964	2010
776	6972	2001
777	6981	1992
778	6989	1983
779	6999	1974
780	7007	1964
781	7015	1955
782	7024	1946
783	7032	1937
784	7041	1928
785	7049	1919
786	7057	1910
787	7066	1901
788	7074	1891
789	7083	1882
790	7091	1873
791	7099	1864
792	7108	1855
793	7116	1846
794	7124	1837
795	7133	1828
796	7143	1819
797	7152	1810
798	7162	1801
799	7170	1792
800	7178	1783
801	7187	1774
802	7196	1765
803	7203	1756
804	7213	1747
805	7220	1738
806	7231	1729
807	7239	1720
808	7248	1711
809	7257	1702
810	7265	1693
811	7275	1684
812	7285	1675
813	7294	1666
814	7303	1657
815	7313	1649
816	7322	1640
817	7333	1631
818	7344	1623
819	7355	1614
820	7365	1605
821	7375	1597
822	7387	1588
823	7398	1580
824	7407	1571
825	7415	1562
826	7424	1553
827	7432	1543
828	7441	1534
829	7449	1525
830	7458	1516
831	7465	1507
832	7475	1498
833	7482	1489
834	7491	1480
835	7500	1471
836	7507	1462
837	7516	1453
838	7525	1444
839	7535	1435
840	7545	1426
841	7555	1417
842	7564	1408
843	7572	1399
844	7580	1390
845	7589	1381
846	7597	1372
847	7605	1363
848	7614	1354
849	7623	1345
850	7631	1336
851	7640	1327
852	7649	1318
853	7657	1309
854	7665	1300
855	7674	1291
856	7682	1281
857	7690	1272
858	7699	1263
859	7707	1254
860	7716	1245
861	7724	1236
862	7733	1227
863	7742	1218
864	7751	1209
865	7760	1200
866	7770	1192
867	7778	1182
868	7786	1173
869	7795	1164
870	7803	1155
871	7812	1146
872	7820	1137
873	7829	1128
874	7837	1119
875	7846	1110
876	7855	1101
877	7862	1092
878	7872	1083
879	7880	1074
880	7889	1065
881	7899	1056
882	7908	1047
883	7917	1038
884	7925	1029
885	7934	1020
886	7943	1011
887	7951	1002
888	7960	993
889	7969	985
890	7980	976
891	7988	967
892	7996	958
893	8005	949
894	8013	940
895	8021	931
896	8029	922
897	8038	913
898	8047	904
899	8055	895
900	8063	886
901	8072	877
902	8081	868
903	8089	859
904	8098	850
905	8105	840
906	8113	831
907	8121	822
908	8130	813
909	8138	804
910	8146	795
911	8155	786
912	8163	777
913	8172	768
914	8181	760
915	8192	751
916	8201	742
917	8209	733
918	8217	724
919	8226	715
920	8235	706
921	8243	697
922	8252	688
923	8261	679
924	8270	670
925	8278	661
926	8286	652
927	8294	643
928	8302	634
929	8312	625
930	8319	616
931	8328	607
932	8337	598
933	8345	589
934	8353	580
935	8361	571
936	8370	562
937	8378	553
938	8386	544
939	8395	535
940	8405	527
941	8413	518
942	8421	509
943	8430	500
944	8438	491
945	8448	482
946	8458	473
947	8467	464
948	8481	455
949	8490	446
950	8499	437
951	8508	429
952	8518	420
953	8526	411
954	8534	402
955	8542	393
956	8550	384
957	8559	375
958	8568	366
959	8576	357
960	8585	348
961	8592	339
962	8604	330
963	8614	321
964	8623	312
965	8632	303
966	8640	294
967	8649	285
968	8659	277
969	8667	268
970	8675	259
971	8684	250
972	8692	241
973	8701	232
974	8709	223
975	8717	214
976	8725	205
977	8734	196
978	8742	187
979	8750	178
980	8759	169
981	8768	160
982	8776	151
983	8784	142
984	8793	133
985	8801	124
986	8811	116
987	8819	107
988	8843	98
989	8852	89
990	8860	80
991	8869	71
992	8877	62
993	8886	53
994	8894	44
995	8902	35
996	8910	26
997	8918	17
998	8928	8
999	8935	0
